game_id,season_start_year,period,periodTime,team,shotType,strength,shot_distance,shot_angle,is_goal,empty_net
2017020429,2017,3,18:25,,wrist,,81.93900170248598,23.74949449286676,1,0
2017020431,2017,4,01:29,,wrist,,80.95060222135473,27.19812794850912,1,0
2017020453,2017,3,19:36,,backhand,,94.93682109698008,23.594820569881477,1,0
2017020462,2017,3,18:31,,wrist,,94.57801012920498,19.7760766026392,1,0
2017020468,2017,3,19:44,,wrist,,82.56512580987206,11.173838241814732,1,0
2017020478,2017,2,03:05,,slap,,82.00609733428362,-0.6986943829834713,1,0
2017020498,2017,3,19:49,,wrist,,81.88406438373708,8.426969021480673,1,0
2017020504,2017,3,19:54,,wrist,,92.69843580125828,20.194334245183978,1,0
2017020543,2017,3,19:46,,wrist,,93.30058949438636,-19.405970754001174,1,0
2017020608,2017,3,16:55,,wrist,,91.3892772703669,23.19859051364819,1,0
